Column1;x;PalmSubfamily;accGenus;PalmTribe;;;;;;;;;;SpecName;PalmSubfamily;accGenus;PalmTribe
171;Licuala_kiahii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_allenii;Arecoideae;Attalea;Cocoseae
172;Licuala_brevicalyx;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_amygdalina;Arecoideae;Attalea;Cocoseae
173;Licuala_glabra;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_amylacea;Arecoideae;Attalea;Cocoseae
174;Licuala_mukahensis;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_anisitsiana;Arecoideae;Attalea;Cocoseae
175;Licuala_cabalionii;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_apoda;Arecoideae;Attalea;Cocoseae
176;Licuala_peltata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_attaleoides;Arecoideae;Attalea;Cocoseae
177;Licuala_bidentata;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_barreirensis;Arecoideae;Attalea;Cocoseae
178;Licuala_lanuginosa;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_bassleriana;Arecoideae;Attalea;Cocoseae
179;Licuala_penduliflora;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_blepharopus;Arecoideae;Attalea;Cocoseae
180;Licuala_collina;Coryphoideae;Licuala;Trachycarpeae;;;;;;;;;;Attalea_brasiliensis;Arecoideae;Attalea;Cocoseae
