"","LEVEL_3_CO","X","LAT","LONG","accAfrica","max95FL_palms","log_medianFL_palms_BBM_MCC","curr_max95BodySize","mean_abs_BSchange","presNat_max95BodySize","mean_perc_BSchange","MAT","TempSeas","AnnualPrec","PrecSeas","CH_Mean","CH_PercCover","accRealm","log_max95FL_palms_BBM_MCC","log_max95FL_palms_BBMmean"
"91","PAR",91,-23.23612887,-58.39095178,0,5.17652774434069,1.73155090332642,23159.0747016241,404704.428454481,2571453.16265032,98.34,236.623347919395,3324.68701067381,44.3258440956846,1192.26286691466,6.93726,0.233903033,"Americas",1.4432,1.0694
"92","PER",92,-9.163771326,-74.37540668,0,8,2.33890063594414,9727.13180788254,146567.942321429,204467.359771733,97.28,185.715991727816,757.599140001391,58.8024752499109,1619.38585388049,18.7303,0.57637744,"Americas",1.3304,1.20975
"93","PHI",93,11.74740203,122.8736074,0,5,2.38951311366229,28850.1938301473,0,28850.1938301473,0,256.402123161991,785.55423539704,51.8218333422403,2397.03574914907,24.1241,0.168692872,"Asia",1.2843,1.0053
"94","PUE",94,18.22093074,-66.46612748,0,1.46421257000205,2.84502541312558,45.5766653849576,3408.79285714286,8782.58101133281,99.1,255.450478530011,1096.44959982315,36.2901511167535,1612.83034594013,17.6349,0.481325337,"Americas",1.34625,1.12765
"95","QLD",95,-22.57373668,144.5481795,0,3.38158231191632,3.0980878017163,5325.03035981058,91968.8708059211,150000,98.78,234.895256805734,4521.380570397,73.9636573051293,625.035250884799,16.8357,0.029530962,"Pacific",1.33925,0.9801
"96","RWA",96,-1.997967978,29.91720553,1,10.5567483198076,1.17481364842683,85302.9561888859,3561.1328793158,131152.885968783,4.57,190.515821360984,715.76285481009,50.0812993829335,1184.9953445698,16.9865,0.149519953,"Africa",1.1828,1.12315
"97","SAM",97,-13.79663559,-172.031904,0,8.42901184096999,3.30053771258888,282.186781486304,115.15,502.100861904108,39.19,248.794965051658,381.381046768915,42.4186659399069,3553.29315685722,NA,NA,"Pacific",1.4677,0.79925
"98","SAU",98,24.0233803,44.58510578,0,6.83999873765599,2.33890063594414,48389.5130954071,195705.490882353,238646.620781179,95.27,260.290969553523,7059.66470252904,108.319510922141,86.0963531717423,NA,NA,"Asia",1.0546,1.1809
"99","SCA",99,33.91755375,-80.90042082,0,2.04242106606891,3.22461899601166,17001.2131375937,774854.548571429,7199545.97028133,98.97,173.205576830722,6837.85112665404,21.2029480290382,1232.24811950231,20.2366,0.375116069,"Americas",1.25165,1.11435
"100","SCZ",100,-10.99211357,166.2240525,0,9.4232657906894,2.1111444862125,242.694846862469,31.5833333333333,266.783942312837,18.33,262.452370880656,384.296630197867,12.2798838980625,5007.14161849711,NA,NA,"Pacific",1.4903,0.93425
"101","SEN",101,14.36697954,-14.46817708,1,13.5669352788846,0.76991382668168,81440.894312427,19795.3438160677,183051.120207383,13.32,284.9850555849,2156.99324703465,138.025996212084,654.659119268073,4.93134,0.028197347,"Africa",1.268,1.1353
"102","SEY",102,-4.702082011,55.52213886,1,2.15867994188328,2.69318797997115,457,0,457,0,261.961548916129,684.235848765833,43.2705842331794,2457.99667774086,NA,NA,"Africa",1.1404,0.9704
"103","SIE",103,8.560340924,-11.7921029,1,8.86162888694854,1.57971347017198,71364.4375952385,1080.54490683231,71489.7605941803,1.43,254.384977902579,1320.78020337273,81.9630288684841,2688.35151628298,15.3288,0.552921447,"Africa",1.28035,1.1347
"104","SOL",104,-8.147972776,158.3400507,0,7.54502629924318,2.84502541312558,713.298969414375,39.7381428571429,893.333121718641,10.91,256.160468810087,378.391053585047,21.5273280049412,3377.60069650091,21.9363,0.213637807,"Asia",1.3145,0.9955
"105","SOM",105,6.063713497,45.86255927,1,7.65664696748915,0.567463915809104,86739.9462500459,185231.258681319,534236.919266008,57.25,266.043699709343,1536.02497657359,104.217218201891,289.925328203472,14.3646,4.32242e-05,"Africa",1.1362,1.1716
